====================================================
=     BMC SDR after KSB Manufacture Test Phase2    =
====================================================
Chassis Serial Number: 516-22011400300007
========== BMC SDR ==========
===== BMC SDR check PASS =====
TEMP_K0_R1_Min   | 37.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        [PASS]
TEMP_K0_R2_Min   | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_12V           | 12.480     | Volts      | ok    | na        | 11.040    | na        | na        | 12.600    | na        [PASS]
K0_VREFP         | 1.250      | Volts      | ok    | na        | 1.230     | na        | na        | 1.260     | na        [PASS]
K0_VREFN         | 0.000      | Volts      | ok    | na        | na        | na        | na        | 0.001     | na        [PASS]
K0_5V            | 4.770      | Volts      | ok    | na        | 4.590     | na        | na        | 5.250     | na        [PASS]
K0_3V3           | 3.280      | Volts      | ok    | na        | 3.120     | na        | na        | 3.480     | na        [PASS]
K0_S0_600mV_VTT  | 0.609      | Volts      | ok    | na        | 0.582     | na        | na        | 0.618     | na        [PASS]
K0_S1_600mV_VTT  | 0.609      | Volts      | ok    | na        | 0.582     | na        | na        | 0.618     | na        [PASS]
K0_VCCINT_IMON   | 0.100      | Volts      | ok    | na        | na        | na        | na        | 1.120     | na        [PASS]
K0_R0_VCCINT     | 0.848      | Volts      | ok    | na        | 0.824     | na        | na        | 0.872     | na        [PASS]
K0_R0_VCCBRAM    | 0.848      | Volts      | ok    | na        | 0.832     | na        | na        | 0.868     | na        [PASS]
K0_R0_VCCAUX     | 1.810      | Volts      | ok    | na        | 1.740     | na        | na        | 1.860     | na        [PASS]
K0_R0_VUSER0     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.872     | na        [PASS]
K0_R0_VUSER1     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.872     | na        [PASS]
K0_R0_VUSER2     | 1.820      | Volts      | ok    | na        | 1.740     | na        | na        | 1.860     | na        [PASS]
K0_R0_VUSER3     | 1.820      | Volts      | ok    | na        | 1.740     | na        | na        | 1.860     | na        [PASS]
K0_R1_VCCINT     | 0.856      | Volts      | ok    | na        | 0.824     | na        | na        | 0.872     | na        [PASS]
K0_R1_VCCBRAM    | 0.848      | Volts      | ok    | na        | 0.832     | na        | na        | 0.868     | na        [PASS]
K0_R1_VCCAUX     | 1.820      | Volts      | ok    | na        | 1.740     | na        | na        | 1.860     | na        [PASS]
K0_R1_VUSER0     | 1.210      | Volts      | ok    | na        | 1.150     | na        | na        | 1.250     | na        [PASS]
K0_R1_VUSER1     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.868     | na        [PASS]
K0_R1_VUSER2     | 1.210      | Volts      | ok    | na        | 1.150     | na        | na        | 1.250     | na        [PASS]
K0_R1_VUSER3     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.868     | na        [PASS]
K0_R2_VCCINT     | 0.856      | Volts      | ok    | na        | 0.824     | na        | na        | 0.872     | na        [PASS]
K0_R2_VCCBRAM    | 0.848      | Volts      | ok    | na        | 0.832     | na        | na        | 0.868     | na        [PASS]
K0_R2_VCCAUX     | 1.820      | Volts      | ok    | na        | 1.740     | na        | na        | 1.860     | na        [PASS]
K0_R2_VUSER0     | 1.210      | Volts      | ok    | na        | 1.150     | na        | na        | 1.250     | na        [PASS]
K0_R2_VUSER1     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.868     | na        [PASS]
K0_R2_VUSER2     | 1.200      | Volts      | ok    | na        | 1.150     | na        | na        | 1.250     | na        [PASS]
K0_R2_VUSER3     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.868     | na        [PASS]
K0_VCCINT_Max    | 0.852      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_VCCBRAM_Max   | 0.848      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_VCCAUX_Max    | 1.820      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R0_VUSER0_Max | 0.840      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R0_VUSER1_Max | 0.840      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R0_VUSER2_Max | 1.820      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R0_VUSER3_Max | 1.820      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R1_VUSER0_Max | 1.210      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R1_VUSER1_Max | 0.840      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R1_VUSER2_Max | 1.210      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R1_VUSER3_Max | 0.840      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R2_VUSER0_Max | 1.210      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R2_VUSER1_Max | 0.840      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R2_VUSER2_Max | 1.210      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R2_VUSER3_Max | 0.840      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_VCCINT_Min    | 0.848      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_VCCBRAM_Min   | 0.844      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_VCCAUX_Min    | 1.810      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R0_VUSER0_Min | 0.836      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R0_VUSER1_Min | 0.836      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R0_VUSER2_Min | 1.810      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R0_VUSER3_Min | 1.810      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R1_VUSER0_Min | 1.200      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
