====================================================
=     BMC SDR after KSB Manufacture Test Phase2    =
====================================================
Chassis Serial Number: 516-22011400300008
========== BMC SDR ==========
===== BMC SDR check PASS =====
TEMP_CPU0        | 66.000     | degrees C  | ok    | na        | na        | na        | na        | 95.000    | na        [PASS]
TEMP_CPU_Outlet  | 48.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_MB_Outlet   | 41.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_VR_Zone     | 34.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_MEM_Zone_1  | 31.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_MEM_Zone_2  | 33.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_BMC_Zone    | 37.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_Air_Inlet   | 21.000     | degrees C  | ok    | na        | na        | na        | na        | 45.000    | na        [PASS]
TEMP_ADM1278     | 38.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_DIMM_A      | 36.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_B      | 35.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_C      | 33.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_D      | 31.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_E      | 36.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_F      | 35.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_G      | 35.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_H      | 33.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
12V              | 12.480     | Volts      | ok    | na        | 11.400    | na        | na        | 12.600    | na        [PASS]
5V               | 5.040      | Volts      | ok    | na        | 4.620     | na        | na        | 5.370     | na        [PASS]
3V3              | 3.300      | Volts      | ok    | na        | 3.040     | na        | na        | 3.560     | na        [PASS]
VDDCR_CPU        | 1.180      | Volts      | ok    | na        | 0.420     | na        | na        | 1.480     | na        [PASS]
VDDCR_SOC        | 0.830      | Volts      | ok    | na        | 0.600     | na        | na        | 1.160     | na        [PASS]
VDDCR_SOC_S5     | 0.900      | Volts      | ok    | na        | 0.830     | na        | na        | 0.970     | na        [PASS]
VDD_33_BAT       | 3.140      | Volts      | ok    | na        | 2.500     | na        | na        | 3.240     | na        [PASS]
1V8_SOC          | 1.810      | Volts      | ok    | na        | 1.670     | na        | na        | 1.930     | na        [PASS]
1V8_SOC_S5       | 1.790      | Volts      | ok    | na        | 1.670     | na        | na        | 1.930     | na        [PASS]
3V3_S5           | 3.300      | Volts      | ok    | na        | 3.040     | na        | na        | 3.560     | na        [PASS]
5V_S5            | 5.040      | Volts      | ok    | na        | 4.620     | na        | na        | 5.370     | na        [PASS]
VDD_ABCD         | 1.210      | Volts      | ok    | na        | 1.100     | na        | na        | 1.310     | na        [PASS]
VDD_EFGH         | 1.210      | Volts      | ok    | na        | 1.100     | na        | na        | 1.310     | na        [PASS]
VPP_ABCD         | 2.540      | Volts      | ok    | na        | 2.300     | na        | na        | 2.700     | na        [PASS]
